name,implementation,time
floyd-warshall,noarr,0.085183
floyd-warshall,baseline,0.092754
floyd-warshall,noarr,0.085088
floyd-warshall,baseline,0.092868
floyd-warshall,noarr,0.085178
floyd-warshall,baseline,0.092713
floyd-warshall,noarr,0.087312
floyd-warshall,baseline,0.092845
floyd-warshall,noarr,0.085084
floyd-warshall,baseline,0.092609
floyd-warshall,noarr,0.085226
floyd-warshall,baseline,0.092684
floyd-warshall,noarr,0.084910
floyd-warshall,baseline,0.092632
floyd-warshall,noarr,0.085636
floyd-warshall,baseline,0.092697
floyd-warshall,noarr,0.084657
floyd-warshall,baseline,0.092789
floyd-warshall,noarr,0.085191
floyd-warshall,baseline,0.092644
mvt,noarr,0.000447
mvt,baseline,0.000464
mvt,noarr,0.000448
mvt,baseline,0.000445
mvt,noarr,0.000449
mvt,baseline,0.000445
mvt,noarr,0.000449
mvt,baseline,0.000453
mvt,noarr,0.000447
mvt,baseline,0.000454
mvt,noarr,0.000450
mvt,baseline,0.000445
mvt,noarr,0.000450
mvt,baseline,0.000445
mvt,noarr,0.000450
mvt,baseline,0.000458
mvt,noarr,0.000448
mvt,baseline,0.000451
mvt,noarr,0.000449
mvt,baseline,0.000446
ludcmp,noarr,0.028390
ludcmp,baseline,0.028372
ludcmp,noarr,0.028372
ludcmp,baseline,0.028374
ludcmp,noarr,0.028367
ludcmp,baseline,0.027922
ludcmp,noarr,0.028398
ludcmp,baseline,0.028359
ludcmp,noarr,0.028370
ludcmp,baseline,0.027935
ludcmp,noarr,0.028376
ludcmp,baseline,0.028375
ludcmp,noarr,0.028372
ludcmp,baseline,0.027919
ludcmp,noarr,0.028375
ludcmp,baseline,0.028370
ludcmp,noarr,0.028377
ludcmp,baseline,0.027956
ludcmp,noarr,0.028362
ludcmp,baseline,0.028384
cholesky,noarr,0.014013
cholesky,baseline,0.013801
cholesky,noarr,0.014118
cholesky,baseline,0.013926
cholesky,noarr,0.014024
cholesky,baseline,0.013803
cholesky,noarr,0.014103
cholesky,baseline,0.013914
cholesky,noarr,0.013981
cholesky,baseline,0.013800
cholesky,noarr,0.014130
cholesky,baseline,0.013930
cholesky,noarr,0.013943
cholesky,baseline,0.013800
cholesky,noarr,0.014107
cholesky,baseline,0.013931
cholesky,noarr,0.013972
cholesky,baseline,0.013811
cholesky,noarr,0.014083
cholesky,baseline,0.013913
adi,noarr,0.098290
adi,baseline,0.089339
adi,noarr,0.097491
adi,baseline,0.090232
adi,noarr,0.096795
adi,baseline,0.089212
adi,noarr,0.097630
adi,baseline,0.091213
adi,noarr,0.098250
adi,baseline,0.090205
adi,noarr,0.097506
adi,baseline,0.090139
adi,noarr,0.098517
adi,baseline,0.089201
adi,noarr,0.097526
adi,baseline,0.089341
adi,noarr,0.097441
adi,baseline,0.089215
adi,noarr,0.097522
adi,baseline,0.089934
atax,noarr,0.000311
atax,baseline,0.000259
atax,noarr,0.000327
atax,baseline,0.000265
atax,noarr,0.000312
atax,baseline,0.000265
atax,noarr,0.000311
atax,baseline,0.000264
atax,noarr,0.000319
atax,baseline,0.000265
atax,noarr,0.000312
atax,baseline,0.000258
atax,noarr,0.000318
atax,baseline,0.000258
atax,noarr,0.000311
atax,baseline,0.000258
atax,noarr,0.000320
atax,baseline,0.000259
atax,noarr,0.000312
atax,baseline,0.000258
3mm,noarr,0.030947
3mm,baseline,0.030998
3mm,noarr,0.030924
3mm,baseline,0.031227
3mm,noarr,0.030891
3mm,baseline,0.030916
3mm,noarr,0.030897
3mm,baseline,0.031147
3mm,noarr,0.030903
3mm,baseline,0.030919
3mm,noarr,0.030877
3mm,baseline,0.031212
3mm,noarr,0.030884
3mm,baseline,0.031155
3mm,noarr,0.030885
3mm,baseline,0.031173
3mm,noarr,0.030886
3mm,baseline,0.031126
3mm,noarr,0.030892
3mm,baseline,0.031131
nussinov,noarr,0.057883
nussinov,baseline,0.057873
nussinov,noarr,0.057840
nussinov,baseline,0.057834
nussinov,noarr,0.057838
nussinov,baseline,0.057837
nussinov,noarr,0.057846
nussinov,baseline,0.057842
nussinov,noarr,0.057835
nussinov,baseline,0.057838
nussinov,noarr,0.057839
nussinov,baseline,0.057849
nussinov,noarr,0.057849
nussinov,baseline,0.057744
nussinov,noarr,0.057840
nussinov,baseline,0.057838
nussinov,noarr,0.057845
nussinov,baseline,0.057754
nussinov,noarr,0.057849
